,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.3,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.1,0.4,4.3,2.7,1.5,1.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.3,2.6,14.0,31.8,15.8,7.2,0.7,0.2,0.0,0.4
6,0.3,0.0,0.0,0.3,1.6,13.9,53.3,43.5,11.2,3.1,1.0,0.2,0.6
7,0.3,0.1,0.2,0.3,0.9,7.3,47.0,74.6,38.9,12.1,3.3,1.0,1.0
8,0.0,0.0,0.1,0.0,0.1,2.6,10.5,38.0,32.0,11.5,3.0,0.9,0.3
9,0.0,0.0,0.0,0.0,0.0,0.2,2.5,15.8,30.6,15.9,4.9,1.7,0.4
10,0.0,0.0,0.0,0.1,0.0,0.3,1.4,7.7,13.6,8.7,4.2,2.6,1.4
11,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.5,4.7,2.0,0.5,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,1.9,1.9,0.6,0.3,1.8
