,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.2,3.9,3.7,1.3,0.9,0.0,0.0,0.0,0.0
5,0.1,0.0,0.0,0.1,1.5,12.7,32.9,16.4,7.7,1.0,0.0,0.0,0.6
6,0.3,0.1,0.2,0.1,0.8,9.7,54.8,45.4,12.9,3.8,0.1,0.1,0.7
7,0.2,0.0,0.1,0.1,0.4,2.6,37.7,83.3,42.7,14.2,3.4,1.0,1.3
8,0.1,0.0,0.0,0.0,0.1,1.4,7.9,36.6,34.4,13.6,3.7,1.2,0.0
9,0.0,0.0,0.0,0.0,0.1,0.0,1.7,14.3,27.9,19.7,5.8,2.0,0.5
10,0.0,0.0,0.0,0.0,0.1,0.0,1.0,6.8,13.2,10.1,4.6,3.0,1.2
11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,1.2,4.7,2.4,0.5,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.4,2.4,0.8,0.0,2.0
