,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,4.1,4.0,0.8,1.1,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,1.8,14.2,33.2,14.6,7.9,0.6,0.2,0.0,0.5
6,0.3,0.0,0.1,0.0,0.5,8.7,57.7,44.0,12.9,3.7,0.2,0.1,0.8
7,0.2,0.0,0.1,0.1,0.3,2.9,36.6,86.9,40.5,14.2,3.4,0.4,1.4
8,0.1,0.0,0.0,0.0,0.1,1.4,7.3,38.2,34.1,13.8,2.7,1.1,0.2
9,0.0,0.0,0.0,0.0,0.0,0.0,1.2,14.2,30.9,18.8,4.4,1.9,0.6
10,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.8,12.0,10.0,4.4,3.3,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.2,1.1,4.7,2.5,0.4,0.0
12,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,1.4,2.5,0.7,0.0,2.0
