,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.5,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.1,0.6,3.5,3.4,1.6,0.8,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.6,2.3,14.6,30.6,16.1,7.2,1.0,0.1,0.0,0.5
6,0.3,0.0,0.1,0.2,1.3,13.0,54.4,41.5,13.5,3.4,0.5,0.2,0.6
7,0.4,0.0,0.1,0.1,0.7,5.8,41.7,79.8,39.6,13.7,3.7,0.5,0.9
8,0.0,0.0,0.0,0.0,0.0,2.0,8.8,35.3,36.3,11.8,3.6,0.9,0.3
9,0.0,0.0,0.0,0.0,0.1,0.1,1.8,14.6,29.1,18.3,5.6,1.9,0.5
10,0.0,0.0,0.0,0.0,0.1,0.0,1.1,7.2,12.4,10.3,5.3,2.5,1.1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,1.7,3.9,2.7,0.6,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.9,1.9,1.0,0.2,1.8
