,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,0.8,0.1,0.1,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.2,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.3,3.8,10.4,7.5,1.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,1.8,8.8,41.9,33.3,9.7,2.1,0.3,0.1
7,0.3,0.0,0.0,0.0,0.3,1.5,11.2,53.0,75.3,30.2,7.3,2.3,0.6
8,0.0,0.0,0.0,0.0,0.0,0.1,4.2,29.4,49.0,26.6,4.9,1.5,0.3
9,0.4,0.1,0.0,0.0,0.0,0.3,3.4,9.1,31.5,34.8,10.0,3.5,1.9
10,0.0,0.0,0.0,0.0,0.0,0.1,0.5,2.9,15.5,19.4,12.1,3.2,0.3
11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.6,5.6,11.0,9.7,5.2,1.8
12,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,3.0,7.9,6.7,0.3,2.8
