,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,1.0,0.6,0.1,0.3,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.2,0.1,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.5,4.0,9.0,7.9,1.4,0.2,0.0,0.0
6,0.1,0.0,0.0,0.0,0.4,1.6,9.9,40.7,32.3,10.2,2.3,0.5,0.0
7,0.3,0.0,0.0,0.1,0.4,2.4,11.5,55.0,71.4,29.6,8.3,1.9,1.1
8,0.0,0.0,0.0,0.0,0.1,0.7,4.1,31.0,48.8,24.0,6.5,0.4,0.4
9,0.2,0.0,0.0,0.0,0.4,0.6,3.1,11.3,31.1,32.2,11.0,4.1,1.0
10,0.1,0.0,0.0,0.0,0.0,0.2,0.3,4.4,14.9,20.0,10.3,3.4,0.4
11,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.6,6.3,11.4,9.7,4.7,1.1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.4,8.1,6.0,0.9,2.4
