,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.1,0.0,0.3,0.5,0.1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.2,1.9,2.0,1.5,0.3,0.1,0.0,0.0,0.0,0.0
4,0.1,0.0,0.5,2.7,9.1,19.9,13.8,6.5,0.8,0.2,0.2,0.1,0.1
5,1.3,0.1,1.1,4.4,18.5,51.9,56.2,27.2,4.0,0.9,0.2,0.4,0.8
6,1.1,0.1,0.3,1.4,7.7,37.5,63.0,43.7,11.8,1.8,0.5,0.0,0.1
7,0.3,0.0,0.1,0.3,2.2,14.1,34.0,42.0,15.3,2.7,0.5,0.1,0.4
8,0.2,0.0,0.0,0.3,1.1,3.0,10.5,20.5,15.2,4.3,0.5,0.1,0.3
9,0.1,0.0,0.0,0.0,0.4,1.0,3.7,10.8,15.8,4.8,1.1,0.3,0.0
10,0.0,0.0,0.0,0.0,0.0,0.1,0.5,2.3,7.9,4.7,1.2,0.3,0.0
11,0.0,0.0,0.0,0.0,0.0,0.1,0.8,1.0,2.0,1.0,0.1,0.0,0.0
12,0.0,0.0,0.0,0.0,0.1,0.7,0.2,0.0,0.1,0.5,0.2,0.2,0.0
