100,9.295480000000001
200,8.14317
300,6.29876
400,6.3140600000000004
500,6.9248699999999985
600,5.945689999999999
700,6.0699700000000005
800,6.00492
900,6.131259999999999
1000,5.953049999999999
1100,6.29651
1200,5.966469999999999
1300,6.021800000000001
1400,5.918819999999999
1500,5.93359
1600,6.317810000000001
1700,6.131089999999999
1800,6.14072
1900,6.141329999999999
2000,6.024170000000001
2100,6.108459999999999
2200,5.766489999999999
2300,6.071340000000001
2400,5.9934400000000005
2515,5.906230000000001
