,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.5,0.5,5.0,9.5,17.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0
5,4.5,0.0,3.0,9.0,22.5,41.5,48.5,23.0,4.5,1.0,0.5,0.0,0.0
6,3.0,1.0,2.0,2.5,14.5,34.0,57.5,35.5,13.5,2.5,0.0,0.0,0.0
7,1.0,0.0,0.0,1.5,4.5,15.0,31.5,39.0,17.0,2.5,0.0,0.0,0.0
8,0.0,0.0,0.0,0.5,0.5,5.0,11.0,19.5,13.5,4.5,1.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.5,3.5,9.5,9.0,5.0,1.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.5,3.0,2.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
