,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.2,3.2,3.7,2.0,0.9,0.0,0.0,0.0,0.0
5,0.1,0.0,0.1,0.1,1.4,13.0,30.0,18.4,7.9,1.2,0.1,0.3,0.4
6,0.3,0.0,0.0,0.1,1.2,10.4,50.8,47.7,12.8,4.0,0.9,0.2,0.6
7,0.5,0.0,0.1,0.0,0.3,5.2,40.8,79.2,42.6,13.9,2.4,0.7,1.3
8,0.1,0.0,0.0,0.0,0.1,1.0,10.9,36.7,32.5,13.0,3.3,0.8,0.6
9,0.0,0.0,0.0,0.0,0.0,0.2,1.3,16.2,28.0,18.4,5.4,1.6,0.9
10,0.0,0.0,0.0,0.0,0.0,0.1,1.4,7.9,12.3,9.3,5.6,2.4,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.1,1.8,4.2,2.1,0.4,0.1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,2.1,0.6,0.3,1.7
