,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.5,2.9,3.3,2.1,1.2,0.0,0.0,0.0,0.0
5,0.2,0.0,0.0,0.3,1.9,12.6,29.1,19.4,7.9,1.1,0.0,0.1,0.4
6,0.2,0.0,0.0,0.1,1.6,11.1,47.2,46.0,17.0,4.2,0.5,0.4,0.7
7,0.7,0.0,0.2,0.6,1.4,6.4,40.5,77.5,42.4,12.2,3.1,1.0,1.0
8,0.2,0.0,0.0,0.1,0.2,1.9,12.9,34.3,32.3,12.2,3.7,0.8,0.4
9,0.0,0.0,0.0,0.1,0.1,0.1,2.5,17.2,28.7,16.7,4.9,1.3,0.4
10,0.0,0.0,0.1,0.1,0.0,0.3,1.3,8.6,12.6,9.5,4.5,2.2,0.8
11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,2.9,3.7,2.1,0.4,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,2.1,1.4,0.6,0.8,1.4
