,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,1.1,0.5,0.4,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.1,0.5,4.0,10.8,7.1,0.5,0.0,0.0,0.0
6,0.0,0.0,0.0,0.1,0.2,2.8,11.2,44.0,29.7,8.1,1.4,0.3,0.2
7,0.2,0.0,0.0,0.0,0.0,2.5,13.9,58.0,72.9,25.9,5.7,1.9,1.0
8,0.0,0.0,0.0,0.0,0.1,1.2,5.4,33.7,46.3,22.8,5.2,1.0,0.3
9,0.1,0.1,0.0,0.0,0.1,0.9,3.6,12.9,31.9,30.4,9.2,3.9,1.9
10,0.0,0.1,0.0,0.0,0.0,0.0,0.8,3.9,16.1,19.8,9.7,3.1,0.5
11,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.6,5.7,12.0,8.7,5.1,1.6
12,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,3.4,8.4,5.3,0.7,2.8
