,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,7.0,0.5,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,2.0,11.5,44.5,29.0,8.5,1.5,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,1.0,11.0,57.0,70.0,26.5,6.0,2.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.5,6.0,31.5,46.0,24.0,5.0,1.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,2.5,11.5,31.0,32.0,10.0,3.5,2.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,15.0,20.0,9.5,4.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,11.0,10.0,5.0,2.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.5,6.5,1.0,2.0
