,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.8,0.4,0.4,0.3,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.1,0.1,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.8,3.4,11.0,6.5,1.1,0.1,0.1,0.0
6,0.0,0.0,0.0,0.0,0.0,2.2,10.6,40.8,28.8,11.9,2.6,1.0,0.1
7,0.2,0.0,0.0,0.0,0.1,2.0,11.6,49.9,74.8,30.5,9.0,3.1,0.8
8,0.0,0.0,0.0,0.0,0.0,0.4,5.0,28.9,47.4,26.4,5.6,2.0,0.3
9,0.2,0.0,0.0,0.0,0.3,0.3,2.5,11.1,28.3,35.0,10.2,4.8,2.3
10,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.9,14.6,21.4,10.3,3.4,1.1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.9,5.6,10.5,10.1,5.6,2.0
12,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.3,2.8,8.3,5.8,0.8,2.8
