,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,1.0,4.5,10.5,6.5,1.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,2.5,12.0,42.0,29.5,9.5,2.0,1.0,0.0
7,0.0,0.0,0.0,0.0,0.0,2.0,13.0,61.0,68.0,27.0,6.5,2.5,0.5
8,0.0,0.0,0.0,0.0,0.0,1.0,5.5,32.5,44.5,26.0,4.5,1.5,0.5
9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,28.5,33.0,11.0,4.0,2.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,20.0,10.0,4.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.0,11.0,9.5,6.0,2.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.5,5.5,1.0,3.0
