,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.5,2.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,1.0,3.5,7.0,23.5,13.0,3.5,0.5,0.0,0.0,0.0,0.0
5,1.0,0.0,1.0,5.5,24.5,46.5,59.5,23.0,3.5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,2.0,12.5,39.0,59.0,41.0,11.0,2.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0,3.0,12.5,32.0,39.0,17.0,3.0,0.0,0.0,0.0
8,0.5,0.0,0.0,0.0,2.0,3.0,10.0,18.5,15.0,6.0,1.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.5,14.0,6.0,1.5,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,1.5,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
