,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,3.0,10.0,22.0,12.0,3.5,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.5,4.5,24.0,56.5,55.0,21.5,3.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0,9.0,42.5,64.5,39.5,9.5,1.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.5,1.5,14.0,39.5,39.5,15.0,1.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2.0,2.5,10.5,20.5,17.0,4.5,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.5,15.5,4.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.5,5.5,0.5,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
