,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,1.0,3.0,9.0,20.0,14.5,4.5,1.5,0.0,0.0,0.0,0.0
5,1.5,0.0,2.0,7.0,22.0,47.0,52.0,23.5,5.0,1.0,0.5,0.0,0.5
6,0.0,0.0,0.0,3.5,11.0,35.0,61.5,38.5,11.5,1.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0,4.0,10.0,33.0,36.0,19.0,2.0,1.0,0.0,0.0
8,0.0,0.0,0.0,0.0,1.0,2.0,9.5,19.5,14.0,6.0,1.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,16.0,6.0,2.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.5,4.5,2.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.5,0.5,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
