,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.1,0.5,1.5,2.5,1.0,0.2,0.2,0.0,0.0,0.0,0.0
4,0.2,0.1,0.4,3.9,9.1,21.2,13.9,3.7,0.8,0.1,0.1,0.4,0.1
5,0.5,0.3,0.3,6.2,23.6,49.2,58.4,24.0,4.1,0.2,0.2,0.0,0.0
6,0.6,0.0,0.2,1.2,9.7,36.8,63.6,41.6,12.3,2.5,0.2,0.1,0.2
7,0.3,0.0,0.0,0.7,2.4,12.3,34.5,39.2,19.0,3.2,0.2,0.1,0.1
8,0.2,0.1,0.0,0.8,1.0,2.4,8.9,19.0,18.4,4.2,0.8,0.2,0.0
9,0.1,0.0,0.0,0.0,0.1,0.5,3.8,8.5,15.9,7.3,1.4,0.3,0.1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.3,7.3,6.2,1.6,0.5,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,2.6,0.9,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.2,0.6,0.2,0.0
